event1,event2,event3,event4,event5,event6,athome,person
16,19,15,16,19,16,1,2
19,15,16,19,16,17,1,2
15,16,19,16,17,18,1,2
16,19,16,17,18,19,1,2
19,16,17,18,19,16,1,3
16,17,18,19,16,17,1,3
17,18,19,16,17,21,3,3
18,19,16,17,21,16,3,2
19,16,17,21,16,19,3,2
16,17,21,16,19,20,3,2
17,21,16,19,20,11,3,2
21,16,19,20,11,9,3,2
16,19,20,11,9,11,3,2
19,20,11,9,11,9,3,2
20,11,9,11,9,11,3,2
11,9,11,9,11,9,3,2
9,11,9,11,9,15,3,2
11,9,11,9,15,20,3,2
9,11,9,15,20,11,3,2
11,9,15,20,11,9,3,2
9,15,20,11,9,15,3,2
15,20,11,9,15,20,3,2
20,11,9,15,20,11,3,2
11,9,15,20,11,12,3,2
9,15,20,11,12,14,3,2
15,20,11,12,14,1,3,2
20,11,12,14,1,13,3,2
11,12,14,1,13,22,1,3
12,14,1,13,22,21,3,3
14,1,13,22,21,2,3,2
1,13,22,21,2,4,3,2
13,22,21,2,4,3,3,2
22,21,2,4,3,6,3,2
21,2,4,3,6,12,3,2
2,4,3,6,12,4,3,2
4,3,6,12,4,3,3,2
3,6,12,4,3,6,3,2
6,12,4,3,6,9,3,2
12,4,3,6,9,15,3,2
4,3,6,9,15,16,3,2
3,6,9,15,16,19,3,2
6,9,15,16,19,16,3,2
9,15,16,19,16,19,3,2
15,16,19,16,19,16,3,2
16,19,16,19,16,19,3,2
19,16,19,16,19,20,3,2
16,19,16,19,20,15,3,2
19,16,19,20,15,20,3,2
16,19,20,15,20,11,3,2
19,20,15,20,11,22,1,3
20,15,20,11,22,21,3,3
15,20,11,22,21,9,3,2
20,11,22,21,9,11,3,2
11,22,21,9,11,9,3,2
22,21,9,11,9,15,3,2
21,9,11,9,15,16,3,2
9,11,9,15,16,19,3,2
11,9,15,16,19,20,3,2
9,15,16,19,20,15,3,2
15,16,19,20,15,16,3,2
16,19,20,15,16,17,3,2
19,20,15,16,17,18,3,2
20,15,16,17,18,17,3,2
15,16,17,18,17,21,8,2
16,17,18,17,21,22,5,3
17,18,17,21,22,21,8,3
18,17,21,22,21,22,3,2
17,21,22,21,22,21,8,2
21,22,21,22,21,22,5,3
22,21,22,21,22,21,8,3
21,22,21,22,21,22,3,2
22,21,22,21,22,18,3,2
21,22,21,22,18,19,3,2
22,21,22,18,19,20,3,2
21,22,18,19,20,15,3,2
22,18,19,20,15,16,3,2
18,19,20,15,16,17,3,2
19,20,15,16,17,18,3,2
20,15,16,17,18,17,3,2
15,16,17,18,17,18,3,2
16,17,18,17,18,19,3,2
17,18,17,18,19,16,3,2
18,17,18,19,16,19,3,2
17,18,19,16,19,22,1,3
18,19,16,19,22,18,1,3
19,16,19,22,18,17,1,3
16,19,22,18,17,21,3,3
19,22,18,17,21,16,3,2
22,18,17,21,16,17,3,2
18,17,21,16,17,21,8,2
17,21,16,17,21,22,5,3
21,16,17,21,22,21,8,3
16,17,21,22,21,22,3,2
17,21,22,21,22,18,3,2
21,22,21,22,18,19,3,2
22,21,22,18,19,16,3,2
21,22,18,19,16,17,3,2
22,18,19,16,17,21,8,2
18,19,16,17,21,22,5,3
19,16,17,21,22,18,5,3
16,17,21,22,18,17,5,3
17,21,22,18,17,18,5,3
21,22,18,17,18,19,5,3
22,18,17,18,19,20,5,3
18,17,18,19,20,22,1,2
17,18,19,20,22,18,1,2
18,19,20,22,18,19,1,2
19,20,22,18,19,15,1,3
20,22,18,19,15,20,1,2
22,18,19,15,20,16,1,3
18,19,15,20,16,17,1,3
19,15,20,16,17,21,3,3
15,20,16,17,21,15,3,2
20,16,17,21,15,20,3,2
16,17,21,15,20,15,3,2
17,21,15,20,15,16,3,2
21,15,20,15,16,17,3,2
15,20,15,16,17,18,3,2
20,15,16,17,18,19,3,2
15,16,17,18,19,16,3,2
16,17,18,19,16,17,3,2
17,18,19,16,17,21,8,2
18,19,16,17,21,22,5,3
19,16,17,21,22,18,5,3
16,17,21,22,18,17,5,3
17,21,22,18,17,21,8,3
21,22,18,17,21,22,3,2
22,18,17,21,22,18,3,2
18,17,21,22,18,19,3,2
17,21,22,18,19,16,3,2
21,22,18,19,16,17,3,2
22,18,19,16,17,18,3,2
18,19,16,17,18,17,3,2
19,16,17,18,17,18,3,2
16,17,18,17,18,19,3,2
17,18,17,18,19,20,3,2
18,17,18,19,20,11,3,2
17,18,19,20,11,12,3,2
18,19,20,11,12,13,3,2
19,20,11,12,13,2,3,2
20,11,12,13,2,4,3,2
11,12,13,2,4,3,3,2
12,13,2,4,3,5,3,2
13,2,4,3,5,7,3,2
2,4,3,5,7,6,3,2
4,3,5,7,6,22,1,3
3,5,7,6,22,21,3,3
5,7,6,22,21,12,3,2
7,6,22,21,12,14,3,2
6,22,21,12,14,1,3,2
22,21,12,14,1,14,3,2
21,12,14,1,14,1,3,2
12,14,1,14,1,14,3,2
14,1,14,1,14,1,3,2
1,14,1,14,1,13,3,2
14,1,14,1,13,2,3,2
1,14,1,13,2,13,3,2
14,1,13,2,13,2,3,2
1,13,2,13,2,4,3,2
13,2,13,2,4,3,3,2
2,13,2,4,3,5,3,2
13,2,4,3,5,7,3,2
2,4,3,5,7,5,3,2
4,3,5,7,5,7,3,2
3,5,7,5,7,5,3,2
5,7,5,7,5,7,3,2
7,5,7,5,7,4,3,2
5,7,5,7,4,3,3,2
7,5,7,4,3,14,3,2
5,7,4,3,14,1,3,2
7,4,3,14,1,14,3,2
4,3,14,1,14,22,1,3
3,14,1,14,22,18,1,3
14,1,14,22,18,17,1,3
1,14,22,18,17,21,3,3
14,22,18,17,21,1,3,2
22,18,17,21,1,14,3,2
18,17,21,1,14,1,3,2
17,21,1,14,1,4,3,2
21,1,14,1,4,3,3,2
1,14,1,4,3,5,3,2
14,1,4,3,5,7,3,2
1,4,3,5,7,4,3,2
4,3,5,7,4,3,3,2
3,5,7,4,3,14,3,2
5,7,4,3,14,1,3,2
7,4,3,14,1,14,3,2
4,3,14,1,14,1,3,2
3,14,1,14,1,13,3,2
14,1,14,1,13,2,3,2
1,14,1,13,2,4,3,2
14,1,13,2,4,3,3,2
1,13,2,4,3,5,3,2
13,2,4,3,5,7,3,2
2,4,3,5,7,5,3,2
4,3,5,7,5,7,3,2
3,5,7,5,7,13,3,2
5,7,5,7,13,22,1,3
7,5,7,13,22,21,3,3
5,7,13,22,21,2,3,2
7,13,22,21,2,14,3,2
13,22,21,2,14,1,3,2
22,21,2,14,1,14,3,2
21,2,14,1,14,1,3,2
2,14,1,14,1,6,3,2
14,1,14,1,6,8,3,2
1,14,1,6,8,10,3,2
14,1,6,8,10,12,3,2
1,6,8,10,12,4,3,2
6,8,10,12,4,3,3,2
8,10,12,4,3,6,3,2
10,12,4,3,6,8,3,2
12,4,3,6,8,10,3,2
4,3,6,8,10,12,3,2
3,6,8,10,12,13,3,2
6,8,10,12,13,2,3,2
8,10,12,13,2,14,3,2
10,12,13,2,14,1,3,2
12,13,2,14,1,6,3,2
13,2,14,1,6,9,3,2
2,14,1,6,9,15,3,2
14,1,6,9,15,16,3,2
1,6,9,15,16,19,3,2
6,9,15,16,19,22,1,3
9,15,16,19,22,18,1,3
15,16,19,22,18,19,1,3
16,19,22,18,19,16,1,2
19,22,18,19,16,19,1,2
22,18,19,16,19,16,1,3
18,19,16,19,16,19,1,3
19,16,19,16,19,20,1,2
16,19,16,19,20,11,1,2
19,16,19,20,11,16,1,3
16,19,20,11,16,17,1,3
19,20,11,16,17,18,1,3
20,11,16,17,18,17,1,3
11,16,17,18,17,21,3,3
16,17,18,17,21,9,3,2
17,18,17,21,9,11,3,2
18,17,21,9,11,12,3,2
17,21,9,11,12,14,3,2
21,9,11,12,14,1,3,2
9,11,12,14,1,4,3,2
11,12,14,1,4,3,3,2
12,14,1,4,3,13,3,2
14,1,4,3,13,2,3,2
1,4,3,13,2,4,3,2
4,3,13,2,4,3,3,2
3,13,2,4,3,6,3,2
13,2,4,3,6,9,3,2
2,4,3,6,9,15,3,2
4,3,6,9,15,16,3,2
3,6,9,15,16,17,3,2
6,9,15,16,17,18,3,2
9,15,16,17,18,17,3,2
15,16,17,18,17,21,8,2
16,17,18,17,21,22,5,3
17,18,17,21,22,18,5,3
18,17,21,22,18,19,5,3
17,21,22,18,19,16,5,3
21,22,18,19,16,17,5,3
22,18,19,16,17,18,5,3
18,19,16,17,18,19,5,3
19,16,17,18,19,20,5,3
16,17,18,19,20,15,5,3
17,18,19,20,15,20,5,3
18,19,20,15,20,15,5,3
19,20,15,20,15,20,5,3
20,15,20,15,20,15,5,3
15,20,15,20,15,16,5,3
20,15,20,15,16,17,5,3
15,20,15,16,17,21,8,3
20,15,16,17,21,22,3,2
15,16,17,21,22,18,3,2
16,17,21,22,18,17,3,2
17,21,22,18,17,18,3,2
21,22,18,17,18,19,3,2
22,18,17,18,19,16,3,2
18,17,18,19,16,19,3,2
17,18,19,16,19,16,3,2
18,19,16,19,16,19,3,2
19,16,19,16,19,20,3,2
16,19,16,19,20,11,3,2
19,16,19,20,11,12,3,2
16,19,20,11,12,5,3,2
19,20,11,12,5,7,3,2
20,11,12,5,7,13,3,2
11,12,5,7,13,2,3,2
12,5,7,13,2,4,3,2
5,7,13,2,4,3,3,2
7,13,2,4,3,6,3,2
13,2,4,3,6,9,3,2
2,4,3,6,9,11,3,2
4,3,6,9,11,9,3,2
3,6,9,11,9,15,3,2
6,9,11,9,15,22,1,3
9,11,9,15,22,21,3,3
11,9,15,22,21,16,3,2
9,15,22,21,16,19,3,2
15,22,21,16,19,16,3,2
22,21,16,19,16,17,3,2
21,16,19,16,17,21,8,2
16,19,16,17,21,22,5,3
19,16,17,21,22,21,8,3
16,17,21,22,21,22,3,2
17,21,22,21,22,18,3,2
21,22,21,22,18,17,3,2
22,21,22,18,17,18,3,2
21,22,18,17,18,19,3,2
22,18,17,18,19,16,3,2
18,17,18,19,16,17,3,2
17,18,19,16,17,21,8,2
18,19,16,17,21,22,5,3
19,16,17,21,22,21,8,3
16,17,21,22,21,22,3,2
17,21,22,21,22,21,8,2
21,22,21,22,21,22,5,3
22,21,22,21,22,18,5,3
21,22,21,22,18,17,5,3
22,21,22,18,17,21,8,3
21,22,18,17,21,22,3,2
22,18,17,21,22,18,3,2
18,17,21,22,18,17,3,2
17,21,22,18,17,21,8,2
21,22,18,17,21,22,5,3
22,18,17,21,22,18,5,3
18,17,21,22,18,17,5,3
17,21,22,18,17,21,8,3
21,22,18,17,21,22,3,2
22,18,17,21,22,21,8,2
18,17,21,22,21,22,5,3
17,21,22,21,22,18,5,3
21,22,21,22,18,19,5,3
22,21,22,18,19,20,5,3
21,22,18,19,20,15,5,3
22,18,19,20,15,20,5,3
18,19,20,15,20,22,1,2
19,20,15,20,22,21,5,2
20,15,20,22,21,11,5,3
15,20,22,21,11,8,5,3
20,22,21,11,8,10,5,3
22,21,11,8,10,9,5,3
21,11,8,10,9,11,5,3
11,8,10,9,11,8,5,3
8,10,9,11,8,10,5,3
10,9,11,8,10,9,5,3
9,11,8,10,9,15,5,3
11,8,10,9,15,20,5,3
8,10,9,15,20,15,5,3
10,9,15,20,15,16,5,3
