event1,event2,event3,event4,event5,event6,athome,person
8,10,8,10,12,14,1,2
10,8,10,12,14,12,1,3
8,10,12,14,12,6,1,3
10,12,14,12,6,12,1,3
12,14,12,6,12,5,1,3
14,12,6,12,5,7,1,3
12,6,12,5,7,13,1,3
6,12,5,7,13,1,1,2
12,5,7,13,1,4,1,2
5,7,13,1,4,2,1,3
7,13,1,4,2,14,1,3
13,1,4,2,14,3,1,2
1,4,2,14,3,4,1,2
4,2,14,3,4,1,1,3
2,14,3,4,1,3,1,2
14,3,4,1,3,5,1,3
3,4,1,3,5,14,1,2
4,1,3,5,14,7,1,3
1,3,5,14,7,14,1,3
3,5,14,7,14,1,1,2
5,14,7,14,1,5,1,2
14,7,14,1,5,1,1,3
7,14,1,5,1,4,1,3
14,1,5,1,4,7,1,2
1,5,1,4,7,13,1,2
5,1,4,7,13,3,1,3
1,4,7,13,3,14,1,3
4,7,13,3,14,2,1,2
7,13,3,14,2,6,1,2
13,3,14,2,6,8,1,2
3,14,2,6,8,10,1,2
14,2,6,8,10,9,1,2
2,6,8,10,9,1,1,3
6,8,10,9,1,13,1,3
8,10,9,1,13,11,1,2
10,9,1,13,11,8,1,2
9,1,13,11,8,10,1,2
1,13,11,8,10,2,1,3
13,11,8,10,2,6,1,3
11,8,10,2,6,12,1,2
8,10,2,6,12,4,1,2
10,2,6,12,4,12,1,3
2,6,12,4,12,5,1,3
6,12,4,12,5,7,1,3
12,4,12,5,7,5,1,3
4,12,5,7,5,7,1,3
12,5,7,5,7,14,1,3
5,7,5,7,14,3,1,2
7,5,7,14,3,4,1,2
5,7,14,3,4,1,1,3
7,14,3,4,1,4,1,3
14,3,4,1,4,3,1,2
3,4,1,4,3,13,1,2
4,1,4,3,13,3,1,3
1,4,3,13,3,4,1,3
4,3,13,3,4,2,1,2
3,13,3,4,2,14,1,2
13,3,4,2,14,3,1,3
3,4,2,14,3,5,1,3
4,2,14,3,5,1,1,2
2,14,3,5,1,4,1,2
14,3,5,1,4,7,1,3
3,5,1,4,7,4,1,3
5,1,4,7,4,3,1,2
1,4,7,4,3,4,1,2
4,7,4,3,4,3,1,3
7,4,3,4,3,6,1,3
4,3,4,3,6,9,1,3
3,4,3,6,9,15,1,3
4,3,6,9,15,3,1,2
3,6,9,15,3,4,1,2
6,9,15,3,4,16,1,3
9,15,3,4,16,19,1,3
15,3,4,16,19,3,1,2
3,4,16,19,3,5,1,2
4,16,19,3,5,7,1,2
16,19,3,5,7,4,1,2
19,3,5,7,4,16,1,3
3,5,7,4,16,19,1,3
5,7,4,16,19,3,1,2
7,4,16,19,3,14,1,2
4,16,19,3,14,20,1,3
16,19,3,14,20,15,1,3
19,3,14,20,15,1,1,2
3,14,20,15,1,6,1,2
14,20,15,1,6,8,1,2
20,15,1,6,8,10,1,2
15,1,6,8,10,20,1,3
1,6,8,10,20,9,1,2
6,8,10,20,9,11,1,3
8,10,20,9,11,11,1,2
10,20,9,11,11,9,1,3
20,9,11,11,9,8,1,2
9,11,11,9,8,10,1,2
11,11,9,8,10,15,1,3
11,9,8,10,15,12,1,2
9,8,10,15,12,4,1,2
8,10,15,12,4,20,1,3
10,15,12,4,20,3,1,2
15,12,4,20,3,15,1,3
12,4,20,3,15,13,1,2
4,20,3,15,13,2,1,2
20,3,15,13,2,16,1,3
3,15,13,2,16,17,1,3
15,13,2,16,17,13,1,2
13,2,16,17,13,21,3,3
2,16,17,13,21,2,3,2
16,17,13,21,2,14,3,2
17,13,21,2,14,1,3,2
13,21,2,14,1,14,3,2
21,2,14,1,14,1,3,2
2,14,1,14,1,4,3,2
14,1,14,1,4,3,3,2
1,14,1,4,3,6,3,2
14,1,4,3,6,12,3,2
1,4,3,6,12,14,3,2
4,3,6,12,14,1,3,2
3,6,12,14,1,13,3,2
6,12,14,1,13,2,3,2
12,14,1,13,2,13,3,2
14,1,13,2,13,2,3,2
1,13,2,13,2,13,3,2
13,2,13,2,13,2,3,2
2,13,2,13,2,14,3,2
13,2,13,2,14,22,1,3
2,13,2,14,22,21,3,3
13,2,14,22,21,1,3,2
2,14,22,21,1,4,3,2
14,22,21,1,4,3,3,2
22,21,1,4,3,14,3,2
21,1,4,3,14,1,3,2
1,4,3,14,1,13,3,2
4,3,14,1,13,2,3,2
3,14,1,13,2,6,3,2
14,1,13,2,6,12,3,2
1,13,2,6,12,4,3,2
13,2,6,12,4,3,3,2
2,6,12,4,3,13,3,2
6,12,4,3,13,2,3,2
12,4,3,13,2,14,3,2
4,3,13,2,14,1,3,2
3,13,2,14,1,13,3,2
13,2,14,1,13,2,3,2
2,14,1,13,2,5,3,2
14,1,13,2,5,7,3,2
1,13,2,5,7,13,3,2
13,2,5,7,13,2,3,2
2,5,7,13,2,14,3,2
5,7,13,2,14,22,1,3
7,13,2,14,22,18,1,3
13,2,14,22,18,17,1,3
2,14,22,18,17,18,1,3
14,22,18,17,18,19,1,3
22,18,17,18,19,1,1,2
18,17,18,19,1,4,1,2
17,18,19,1,4,20,1,3
18,19,1,4,20,11,1,3
19,1,4,20,11,3,1,2
1,4,20,11,3,13,1,2
4,20,11,3,13,8,1,3
20,11,3,13,8,10,1,3
11,3,13,8,10,8,1,3
3,13,8,10,8,10,1,3
13,8,10,8,10,2,1,2
8,10,8,10,2,5,1,2
10,8,10,2,5,8,1,3
8,10,2,5,8,10,1,3
10,2,5,8,10,7,1,2
2,5,8,10,7,13,1,2
5,8,10,7,13,12,1,3
8,10,7,13,12,14,1,3
10,7,13,12,14,2,1,2
7,13,12,14,2,14,1,2
13,12,14,2,14,1,1,3
12,14,2,14,1,13,1,3
14,2,14,1,13,1,1,2
2,14,1,13,1,4,1,2
14,1,13,1,4,2,1,3
1,13,1,4,2,14,1,3
13,1,4,2,14,3,1,2
1,4,2,14,3,4,1,2
4,2,14,3,4,1,1,3
2,14,3,4,1,14,1,3
14,3,4,1,14,3,1,2
3,4,1,14,3,13,1,2
4,1,14,3,13,1,1,3
1,14,3,13,1,4,1,3
14,3,13,1,4,2,1,2
3,13,1,4,2,13,1,2
13,1,4,2,13,3,1,3
1,4,2,13,3,14,1,3
4,2,13,3,14,2,1,2
2,13,3,14,2,6,1,2
13,3,14,2,6,1,1,3
3,14,2,6,1,4,1,3
14,2,6,1,4,8,1,2
2,6,1,4,8,10,1,2
6,1,4,8,10,12,1,2
1,4,8,10,12,13,1,2
4,8,10,12,13,3,1,3
8,10,12,13,3,6,1,3
10,12,13,3,6,9,1,3
12,13,3,6,9,2,1,2
