time,event
14275,11
14295,1
14315,1
14330,11
14350,11
14350,1
14355,4
14370,1
14380,4
14395,11
14400,1
14405,11
14425,1
14455,1
14480,1
14495,1
14510,1
14510,1
14515,4
14520,11
14535,1
14565,1
14590,1
14620,1
14635,1
14645,11
14645,1
14650,4
14675,4
14690,1
14700,4
14720,1
14745,1
14775,1
14780,4
14800,1
14800,1
14805,4
14845,4
14845,11
14855,11
14855,1
14870,1
14885,4
14920,11
14925,1
14930,4
14980,1
14995,1
15020,11
15030,11
15050,1
15055,4
15075,1
15080,4
15105,4
15105,4
15115,11
15125,1
15125,11
15130,4
15135,11
15180,1
15185,4
15190,11
15210,4
15235,4
15240,4
15260,4
15265,4
15285,4
15290,4
15305,1
15315,11
15360,1
15375,1
15430,1
15435,11
15440,11
15450,11
15485,1
15495,11
15500,1
15505,11
15510,4
15530,1
15550,11
15555,1
15585,1
15590,4
15605,11
15610,1
15615,4
15615,4
15630,11
15635,1
15685,11
15690,1
15705,11
15730,11
15740,11
15745,1
15750,4
15770,1
15785,1
15790,4
15795,11
15815,4
15840,4
15865,4
15885,1
15900,1
15955,1
15970,1
15975,4
15995,1
16000,4
16025,4
16045,11
16045,1
16100,1
16115,1
16120,4
16160,4
16170,11
16170,1
16180,1
16180,11
16195,1
16200,11
16210,1
16225,1
16230,4
16255,4
16265,1
16280,1
16295,4
16305,11
16320,4
16335,1
16360,4
16380,1
16390,1
16435,1
16445,1
16450,1
16500,1
16505,1
16555,1
16560,1
16575,1
16610,1
16630,1
16665,1
16680,1
16685,1
16715,11
16735,1
16740,1
16745,4
16770,4
16790,1
16805,1
16810,4
16820,11
16850,4
16860,1
16875,11
16915,1
16930,11
16970,1
17025,1
17030,4
17040,1
17095,1
17110,1
17165,1
17170,4
17230,11
17260,11
17280,4
17285,11
17305,4
17315,11
17320,11
17345,4
17360,4
17370,4
17385,4
17395,4
17405,1
17410,4
17410,4
17420,4
17440,1
17455,1
17460,4
17485,4
17500,11
17505,1
17510,4
17520,4
17530,1
17560,4
17585,1
17590,4
17615,4
17645,4
17705,11
17740,4
17755,4
17775,1
17780,4
17800,1
17830,1
17850,4
17855,1
17885,1
17890,4
17910,1
17910,1
17915,4
17925,1
17940,1
17980,1
17995,1
17995,1
18005,11
18015,11
18050,1
18050,1
18070,11
18080,11
18105,1
18105,1
18120,1
18155,4
18160,1
18175,1
18180,4
18190,1
18200,1
18205,1
18215,1
18255,1
18260,1
18270,1
18275,4
18295,1
18310,1
18315,1
18335,11
18350,1
18365,1
18370,1
18385,1
18390,4
18405,1
18410,1
18410,4
18415,4
18420,1
18430,1
18435,1
18445,1
18450,1
18455,4
18460,1
18465,4
18475,1
18500,1
18505,4
18505,1
18505,4
18525,1
18525,1
18530,1
18530,4
18550,1
18560,1
18580,1
18585,1
18595,1
18605,1
18610,1
18610,4
18615,4
18615,1
18630,1
18635,4
18640,1
18645,4
18655,4
18670,4
18675,1
18675,4
18685,1
18690,1
18695,4
18700,4
18700,1
18715,1
18720,1
18730,1
18735,4
18735,1
18755,1
18760,4
18780,4
18785,4
18790,1
18810,1
18820,4
18825,4
18845,1
18860,4
18865,4
