time,event
10270,10
10300,12
10305,7
10320,11
10325,10
10375,6
10395,10
10395,12
10400,7
10445,11
10450,12
10455,11
10460,10
10500,12
10505,11
10510,11
10510,10
10515,12
10520,7
10560,11
10565,10
10615,6
10635,4
10660,4
10680,1
10695,1
10700,8
10750,1
10755,4
10780,4
10800,1
10805,12
10810,7
10855,1
10900,12
10905,11
10910,12
10910,1
10915,7
10925,1
10930,8
10980,1
10985,4
11010,4
11020,12
11025,7
11035,4
11055,1
11110,1
11165,1
11170,4
11195,4
11220,4
11245,4
11270,4
11295,4
11310,12
11315,1
11315,7
11330,1
11385,1
11415,12
11420,11
11425,10
11440,1
11455,1
11460,8
11475,11
11480,12
11485,7
11510,1
11525,12
11530,7
11565,1
11620,1
11625,4
11645,6
11665,10
11715,11
11720,10
11770,6
11790,10
11815,12
11820,7
11840,11
11845,12
11850,11
11855,12
11860,7
11985,12
11990,11
11995,12
12000,11
12005,10
12030,12
12035,11
12040,10
12055,11
12060,12
12065,11
12070,10
12090,11
12095,10
12120,11
12125,12
12130,11
12135,10
12145,6
12165,10
12185,6
12205,10
12215,6
12235,4
12255,1
12255,11
12260,12
12265,7
12310,1
12320,12
12325,7
12360,12
12365,7
12365,1
12420,1
12435,1
12450,1
12505,1
12560,1
12575,1
12630,1
12635,8
12685,1
12740,1
12745,4
12765,1
12765,12
12770,4
12770,7
12790,6
12810,4
12825,12
12830,6
12830,11
12835,10
12850,10
12865,12
12870,7
12885,6
12900,6
12905,10
12920,10
12955,6
12970,6
12975,10
12990,10
13025,6
13040,6
13045,4
13060,4
13070,4
13080,1
13085,4
13090,6
13105,6
13110,4
13125,4
13130,1
13145,1
13145,1
13150,8
13200,1
13200,1
13205,4
13230,4
13250,1
13255,8
13255,1
13260,4
13270,12
13275,7
13285,4
13305,1
13310,4
13330,6
13350,4
13360,1
13365,8
13370,12
13375,4
13375,11
13380,12
13385,11
13390,10
13395,6
13415,1
13415,10
13430,1
13435,4
13440,11
13445,10
13455,6
13465,6
13475,10
13485,10
13495,11
13500,10
13525,6
13535,6
13545,4
13550,11
13555,10
13555,12
13560,7
13565,1
13605,11
13610,12
13615,11
13620,1
13620,12
13625,8
13625,11
13630,12
13635,11
13640,10
13675,1
13690,11
13695,10
13730,1
13735,4
13745,11
13750,10
13760,4
13775,12
13780,7
13785,4
13800,6
13805,1
13820,10
13860,1
13865,8
13870,11
13875,10
13915,1
13925,11
13930,12
13935,7
13970,1
13975,8
14025,1
14060,12
14065,11
14070,12
14075,7
14080,1
14095,1
14110,1
14115,8
14165,1
14170,8
14220,1
14225,4
14250,4
14275,4
14280,12
14285,11
14290,12
14295,11
14300,4
14300,12
14305,7
14320,1
14325,8
14375,1
14430,1
14435,4
14435,12
14440,7
14455,1
14460,4
14485,4
14510,4
14530,6
14550,10
14575,12
14580,11
14585,12
14590,11
14595,10
14600,11
14605,12
14610,11
14615,10
14645,11
14650,12
14655,7
14665,11
14670,12
14675,11
14680,10
14730,11
14735,12
14740,11
14745,12
14750,7
14805,12
14810,11
14815,12
14820,11
14825,10
14875,11
14880,10
14930,11
14935,12
14940,11
14940,12
14945,11
14945,12
14950,10
14950,7
15000,6
15020,4
15045,4
15070,4
15095,4
15115,1
15120,4
15145,4
15155,12
15160,7
15170,4
15195,4
15220,4
15240,6
15250,12
15255,7
15260,10
15310,6
15330,4
15350,1
15405,1
15420,1
15425,8
15450,12
15455,11
15460,12
15465,7
15475,1
15490,1
15505,1
15520,1
15575,1
15590,1
15595,4
15615,6
15635,10
15660,12
15665,11
15670,10
15685,6
15705,4
15720,11
15725,12
15730,4
15730,11
15735,12
15740,11
15745,10
15750,1
15755,12
15760,11
15765,12
15765,1
15770,7
15795,6
15815,4
15820,1
15825,4
15840,4
15845,6
15865,4
15865,10
