time,event
89718,9
89733,9
89749,2
89822,10
89826,10
89900,10
89928,8
90001,1
90014,9
90048,9
90058,9
90058,2
90073,9
90079,9
90089,2
90093,1
90134,8
90140,10
90157,9
90191,9
90200,2
90228,1
90343,10
90373,2
90377,2
90416,2
90420,2
90471,8
90505,10
90531,1
90558,9
90597,8
90599,10
90605,10
90611,2
90614,1
90615,2
90636,9
90669,9
90685,2
90708,1
90727,2
90768,10
90801,2
90802,1
90803,2
90804,1
90905,2
90906,1
90906,10
90948,2
90960,10
90983,10
90987,8
91012,8
91028,10
91049,2
91057,9
91065,9
91093,1
91133,9
91174,2
91192,9
91252,1
91254,2
91266,8
91302,9
91384,9
91388,9
91426,2
91428,1
91438,2
91468,1
91477,2
91532,10
91635,1
91687,2
91732,9
91740,2
91744,8
91745,1
91775,1
91778,2
91789,8
91821,1
91845,2
91848,8
91866,9
91893,9
91903,10
91998,2
92033,1
92044,9
92050,8
92054,8
92057,8
92062,9
92076,1
92078,1
92085,9
92088,8
92091,8
92147,2
92168,8
92231,8
92319,1
92330,9
92396,2
92434,9
92465,9
92556,9
92582,8
92590,10
92595,10
92670,10
92688,2
92784,9
92791,8
92795,8
92800,1
92802,1
92850,2
92859,2
92861,1
92870,8
92882,9
92885,1
92889,1
92913,9
92947,9
92949,9
92975,9
93041,10
93041,9
93047,10
93073,9
93098,2
93101,9
93116,8
93120,1
93123,1
93152,8
93153,8
93197,9
93228,8
93260,1
93265,2
93267,1
93268,2
93269,1
93270,8
93276,9
93291,9
93296,2
93310,10
93316,10
93319,1
93322,2
93323,10
93324,1
93325,10
93333,8
93334,8
93383,9
93384,8
93448,10
93452,10
93462,8
93467,2
93474,9
93479,9
93557,9
93674,10
93746,8
93770,8
93794,1
93807,9
93827,2
93841,2
93845,1
93848,1
93860,9
93866,8
93930,10
93936,10
94045,10
94130,8
94145,2
94157,8
94163,2
94165,1
94175,2
94182,1
94185,1
94196,9
94239,8
94284,2
94285,1
94292,9
94296,9
94463,2
94468,1
94531,2
94533,9
94540,9
94553,10
94555,10
94557,10
94557,8
94559,1
94559,10
94563,8
94606,9
94620,8
94645,9
94661,9
94686,2
94687,1
94691,8
94693,10
94694,2
94713,10
94739,9
94746,10
94796,9
94838,1
94839,1
94875,2
94887,2
94891,2
94895,2
94898,2
94900,9
94904,9
94907,9
94955,1
94958,1
94965,10
94965,8
94984,2
94997,9
95033,2
95044,1
95058,10
95064,2
95078,9
95100,1
95117,10
95119,10
95167,2
95177,10
95182,10
95184,10
95202,10
95244,10
95306,10
95308,10
95334,2
95350,2
95361,2
95422,9
95456,9
95470,9
95481,1
95484,1
95547,8
95561,2
95562,1
95604,2
95615,8
95652,1
95678,9
95686,10
95686,8
95753,2
95758,2
95774,9
95797,8
95806,2
95826,9
95839,2
95844,8
95906,10
95956,9
96007,2
96019,1
96023,2
96026,8
96028,8
96029,2
96043,2
96182,2
96202,10
96213,2
96243,2
96269,9
96279,2
96310,1
